rank,country,trade_value_usd_thousand,quantity_kg,priority_tier,target_importers_per_country,current_verified_leads,next_action
20,Spain,46813.91,15787900,Tier 1,20,24,"Target exceeded; Big Garlic now ranks as Spain's top contact-ready buyer-style garlic route with official international-commercialization, continuous five-continent supply, packaging flexibility, Las Pedroneras/Elche contacts and public HS 070320 buyer/import evidence, while Ajos La Veguilla remains the strongest producer/exporter route and Calista GC, Joaquin Peregrin, Ruescas Export and Nadal Forwarding remain paid-customs or logistics reconciliation targets"
21,Israel,44444.17,14677500,Tier 2,20,22,"Target exceeded; OOO BODEANU CO now anchors Israel's public fresh-garlic paid-customs FCL ownership route from Volza garlic-buyer evidence, URI FOOD 18 remains the best official contact-ready fresh-produce/garlic importer route, and Beit Yosef Tozar Haklaot adds an HSN 0703 allium/fresh-produce customs target"
22,Singapore,42731.83,16150300,Tier 2,20,27,"Target exceeded; CHOP WENG HOI now anchors Singapore fresh whole-garlic paid-customs FCL ownership from Volza fresh-garlic rank 1 evidence, while JQA, Topstar, Glife, Ngee Teck Huat and Hong Yun add shipment-backed fresh-garlic or broader garlic/import scale and LHH/Defu provide contact-ready official allium and peeled refrigerated routes"
23,Philippines,37956.57,24429800,Tier 2,20,25,"Target exceeded; JN Riqueza now ranks as the strongest public fresh whole-garlic FCL ownership target with Trademo fresh-garlic rank 1, HS 070320 company-profile evidence and Volza garlic/fresh-garlic reinforcement, while JLPM, Rochim, Krissam and RJJ Green Farm are paid-customs challengers and Hordex remains the best contact-ready processed/dehydrated garlic ingredient route"
24,Oman,33738.98,13361100,Tier 2,20,25,"Target exceeded; LuLu Muscat replaces ARIB as Oman rank 1 because current Volza fresh-garlic data shows dominant fresh-garlic shipment ownership, while ARIB remains the best direct official fresh-produce cold-chain distributor contact and Umsalim, Al Liusie, MRSAA, Al Mashani and Habat add paid-customs challenger paths for fresh garlic, garlic paste, alliums and garlic-powder/onion keyword checks"
25,Poland,30604.73,10111300,Tier 2,20,22,"Target exceeded; Greenset now anchors Poland's fresh-garlic FCL route by combining Volza garlic rank 1 evidence with official importer/packer/distributor contacts, while Markie-Pol adds fresh-garlic-bulb leadership and official garlic/warehouse/processing contacts, TopVeg remains the large-volume official garlic specialist and Anatan/Falcon/Pablo/Tan-Viet/Vege remain paid-customs reconciliation targets"
26,Thailand,29729.93,20454000,Tier 2,20,28,"Target exceeded; Marhaban now anchors Thailand's public fresh whole-garlic FCL ownership route from Volza fresh-garlic rank 1 evidence, Somchai Panich is the second paid-customs fresh-garlic/allium target, SAB Agricultural Trading adds the strongest official contact-ready fresh-garlic importer/trader bridge, THAIFRESHEXPRESS remains the best official peeled/whole garlic route, and New World Logistics, Kanokwan Import Export, N Pro Trading, Farm To Plate, CP Axtra and the processor/ingredient rows remain customs, channel and format validation targets"
27,India,28566.37,22078700,Tier 2,20,22,"Target exceeded in the live database; Ever Green Fruits remains India rank 1 from existing public trade and official-contact evidence, with additional fresh, peeled and dehydrated garlic rows already present; next pass should audit shipment-readiness and HS 070320 beneficial ownership before FCL quoting"
28,Qatar,28550.30,10695500,Tier 2,20,29,"Target exceeded; Al Tayeb now anchors Qatar's public fresh-garlic FCL ownership route from Volza fresh-garlic leadership and generic garlic buyer evidence, Family Food Centre remains the strongest contact-ready official retail/import route, Arab India and Asian Fresh add official fresh-produce importer/distributor contacts with fresh-garlic evidence, and Safari, Nasser/MegaMart, Al Ansari, Abu Khalifa, Ajwa, Smiley, New Indian Super Market, Candid, Al Baker, Yamuna and processor/retail rows remain paid-customs, channel and format validation targets"
29,South Africa,28404.28,13384100,Tier 2,20,27,"Target exceeded; M&R Fresh now anchors South Africa's FCL-scale fresh-garlic route with official wholesaler/exporter/distributor, cold-room and packing evidence plus Trademo/Volza HS 070320 garlic supplier/export scale, King Fresh adds official bulb/garlic category and regional export distribution evidence, Shoprite and Woolworths/Food Lover's validate modern retail channels, Drishti and Africa Spice Mart remain processed-garlic import routes, and Nuts about Garlic remains the strongest local bulk/peeled/value-added garlic specialist"
30,Belgium,26924.93,8897290,Tier 2,20,22,"Target exceeded; KX Food now anchors Belgium's official fresh whole-garlic import route with direct Asia-to-Europe garlic sourcing and Brecht contacts, WJT International adds full/mixed-container fresh-produce distribution with garlic, Herbafrost remains the strongest contact-ready frozen/IQF garlic processor, Ardo and Dujardin add scaled frozen/IQF buyer/processor validation, Exotic City and Ebro remain public garlic-buyer trade-data challengers, and SRL FDCB, Solucious, Dicofoods, Innovafood and sauce/black-garlic rows cover peeled, horeca, frozen, ingredient and processed formats"
31,Romania,26730.47,12899800,Tier 2,20,25,"Target exceeded; Select Fruits now anchors Romania's contact-ready official fresh whole-garlic route with China, Egypt, Romania and Spain garlic sourcing and direct retail/HORECA contacts, while SC Star Prod Express, Agro Bac Harvest and Agrofin Invest add Volza HSN 0703 fresh-garlic/allium paid-customs FCL ownership targets, Fire International, RGI DAR Fresh, ADOS Fresh and Fresh-Fruits Logistics validate fresh/peeled distribution, and Fuchs remains the strongest dry/ingredient garlic processor route"
32,Viet Nam,25588.77,25278400,Tier 2,20,22,"Target exceeded; DODO now provides a contact-ready official-source garlic import/export, wholesale and distribution route with full-container packaging references, while Hoa Phat and Da Lien Thong remain paid-customs reconciliation targets for HS 070320 buyer ownership"
33,Ireland,25303.95,7840150,Tier 2,20,21,"Target exceeded; NRG's Indian Imports now validates Ireland's strongest public garlic/garlic-paste shipment-backed importer route, while West Cork Garlic, Taylor's of Lusk, FrostFruits, Asia Market and Wallbridge remain official outreach/channel-validation routes"
34,United Arab Emirates,21602.55,13873500,Tier 2,20,22,"Target exceeded; LuLu Hyper Market/LuLu Retail now validates UAE's strongest fresh-garlic shipment-backed retailer/importer route, while NRTC, Jaleel, Barakat, Al Maya, Farzana and other Al Aweer fresh-produce leads remain official B2B outreach and paid-customs reconciliation targets"
35,Kuwait,20375.90,11133500,Tier 2,20,20,"Target met; Fresh Island is now the contact-ready official-source fresh-garlic import/distribution route, while Fresh Choice remains the paid-customs FCL ownership target from public buyer data"
36,Argentina,19873.84,6861960,Tier 2,20,28,"Target exceeded; Mendoza Exports now anchors Argentina paid-customs fresh whole-garlic FCL ownership with HS 070320 shipment scale, Agroexportadora Hortalizas del Sur and ARGAR add shipment-backed white/fresh-garlic targets, Exajo, Triple Progreso, UCO Garlic, Lufran, Rio Claro, RODIMAR, Parceiros, Agro Allium, Tierras Blas, American Garlic, Subo, Valors, El Rancho, Puente Blanco and Argentbio validate official fresh-garlic export/packing routes, and Ajo Conex remains the strongest peeled/chopped/frozen processor route"
37,Ecuador,18588.11,7928520,Tier 2,20,28,"Target exceeded; ProjectLab remains the best official fresh whole-garlic FCL route, while ECUNE, Transmariner, Bapinex, Basesurcorp, Disecfruta, ILE, Import Garlic, Smart Agro Food and Vianova now separate public HS 070320 ownership targets from lower retail/processor channel-validation rows"
38,Iraq,16877.60,10197400,Tier 2,20,27,"Target exceeded; TAV now anchors Iraq's fresh whole-garlic paid-customs FCL ownership route from public Volza garlic-buyer leadership, while AVV, Janat Al Fawakh, Durat Safwan, Pinot, P NOT and Bean separate fresh/chilled, allium/white-garlic, contact-ready fresh-produce and dry-garlic validation paths from the older dried/spice and retail rows"
39,Belarus,16261.40,5348050,Tier 2,20,24,Audit Fruitreal/Eurotorg/Fudlogistik paid customs and identify procurement desks
40,New Zealand,14910.51,4266720,Tier 2,20,28,Audit MG/Fresh Direct/T&G/Service Foods paid customs and validate garlic-specific FCL ownership
41,Greece,14385.15,5707260,Tier 2,20,29,Audit Alpha/Golden Gaia/MalFruit/Kiriakoulis/Super Market Egnatia paid customs and validate HS 070320 ownership
42,"Taiwan, China",13761.98,3017040,Tier 2,20,25,Audit Marland/Man Ku/Tian Yi Feng paid customs and separate garlic from onion/allium-heavy shipment signals
43,Portugal,13644.29,4763900,Tier 2,20,29,Audit Rodrigues/Batopes/Batatas Mirense/Manuel Patricio/Saleiros paid customs and validate HS 070320 importer ownership
44,Panama,13117.29,5710690,Tier 2,20,26,Audit Grupo Agrocampo/Westlake/Import Agrocampo/Hermanos Gago paid customs and identify official procurement desks
45,Costa Rica,12791.59,5679170,Tier 2,20,23,Audit fresh whole against Fruta/Agrofresko/JIMAP/Salomon/Cajisa and peeled against Alimentos Prosalud
46,Austria,12511.31,4911930,Tier 2,20,31,Audit Dorfinger/Fine Crop/Greenyard/CENIK/Wiegert paid customs and validate HS 070320 ownership
47,Czech Republic,12396.11,4210240,Tier 2,20,27,Audit DALAT/TruthFresh/DIVIS/Xuan/Dookan paid customs and separate fresh whole from peeled foodservice demand
48,Dominican Republic,12240.95,7226100,Tier 2,20,25,"Audit Hispaniola Grain, Agrogalan, Willy y Chic, Foodex, Mercasabe, Casa Chepe and Union Agricola with paid customs before quoting FCL fresh whole garlic"
49,Denmark,11917.97,3859920,Tier 2,20,26,"Audit Ingwersen, Hørkram, Dagrofa Foodservice, KFT, Danfoods, Gima, SR Foods, Montana, Golden Foods, Alber and Desi Mart with paid customs before quoting fresh whole, peeled refrigerated or frozen/IQF garlic"
50,Finland,11672.25,4079660,Tier 2,20,25,"Audit Valkoliekki, Kespro, Wihuri Metro-tukku, Elatukku, Valio Aimo, Meira Nova, Satotukku, Garlica, Apetit, Sevan and Jaakkolan with paid customs before quoting fresh whole, peeled refrigerated or frozen/IQF garlic"
51,Paraguay,11616.23,6341280,Tier 2,20,23,"Audit Churrasqueria Veneza, Las Leñas, Casa Marco, Grãos, Global Trading, Brigo, SCI, Apolo, GP, Boxabo, Fresh & Frozen, 5ta. Gama and IESP with paid customs before quoting fresh whole, processed or frozen/IQF garlic"
52,Chile,11334.63,4771790,Tier 2,20,27,"Audit Costa del Pacifico, Walmart Chile, Super Krak, Cebollas Chile, Rogsfruit, La Rinconada, Prinal, Chinese Mark, Unified Foods, Comercial AFL, Polagro, Santiago Natural, Bidfood and Ecoimport with paid customs before quoting fresh whole, peeled refrigerated, frozen/IQF or processed garlic"
53,Trinidad and Tobago,11092.69,5536320,Tier 2,20,24,"Audit Pepe's Marketing, D Food Connection, D&J Budget Mart, ASM Trading, ABL Food Traders, Pure Harvest, CEJ, Massy Distribution, HADCO, Malabar, Vasha and Chief Brand with paid customs before quoting fresh whole, bulk dry-goods, peeled refrigerated, frozen/IQF or processed garlic"
54,Guyana,10351.91,5778950,Tier 2,20,24,"Audit Guyimex, Triple R, Massy Stores, Alpha, AgroServices, Pan Global, Beepats, Newrest, B.M. Enterprise, UnivEx, Rayo and VP Imports with paid customs before quoting fresh whole, peeled refrigerated, frozen/IQF or dried/processed garlic"
55,Norway,10069.41,3021900,Tier 2,20,26,"Audit BAMA, Exotic Fruit, Abiramy, Norbygata Engros, Asia Engros, Asian Food Import, Lunde, ServiceNord, Sagro, Norrek, Akar and Inopa with paid customs before quoting fresh whole, peeled refrigerated, frozen/IQF or processed garlic"
56,Sweden,9928.10,3218550,Tier 2,20,27,"Audit Grönsaksmästarna, Dole/Everfresh/Ewerman, IND Traders, Saigon Food, GG Handel/Wernsing, Matkompaniet, Menigo, Martin & Servera and Grönsakshallen with paid customs before quoting fresh whole, peeled refrigerated, frozen/IQF or processed garlic"
57,Croatia,9698.90,4752420,Tier 2,20,20,Target met; monitor Frutiko and VG Fryer for stronger shipment and format validation
58,Kazakhstan,9584.37,9958730,Tier 2,20,20,"Target met; monitor Magnum, Lion Fruit and METRO Kazakhstan for stronger direct garlic and shipment evidence"
59,Switzerland,9245.54,2560770,Tier 2,20,20,"Target met; monitor H.J.Gabathuler, MUNDO and Transgourmet for stronger shipment and direct import evidence"
60,Hungary,9022.57,4382370,Tier 2,20,20,"Target met; monitor Cropfood, Non-Stop Foki and West Trade Market for shipment-level garlic evidence and active importer validation"
61,"Serbia, FR(Serbia/Montenegro)",8844.13,3605440,Tier 3,20,20,"Target met; monitor VOCE PROMET, DARKOM, WFC and direct processed-garlic manufacturers for shipment-level garlic evidence"
62,Uzbekistan,8277.13,4690210,Tier 3,20,21,"Target exceeded; UzAgroProduct is now the contact-ready official direct-garlic route, BMB adds official 400 t fresh-garlic capacity evidence and OOO First Fruits remains the paid-customs HS 070320 importer/FCL ownership target"
63,Lithuania,8225.06,2643600,Tier 3,20,20,"Target met; monitor Baltic Fresh Fruit, Litbana, GreenLit, Jotagris, NOWACO Lithuania, Inobera and Sauda for shipment-level garlic evidence"
64,Ukraine,7991.74,5563140,Tier 3,20,20,"Target met; monitor Fozzy Commerce, Green Market Plus, Field Vegetables Ukraine, Koshyk Gospodarya, AGROFRESH and Allium Agri for shipment-level garlic evidence and official contact validation"
65,Russian Federation,7632.60,5335140,Tier 3,20,20,Add directory leads and local distributor mapping
66,Bahrain,7385.56,2840170,Tier 3,20,20,"Target met; monitor LuLu, Babasons, MBT Fruits, MFB Foods, Grand Mart, V.M. & Bros and Subair for shipment-level garlic evidence and official procurement contacts"
67,Senegal,6973.19,3870860,Tier 3,20,20,"Target met; monitor Sadidal, Senfruit Import, Auchan Retail Senegal, SODIAL, Oury Diallo, GuineeGalaise and Senegal Food Industries-SENFI for shipment-level garlic evidence and official procurement contacts"
68,Jordan,6777.55,4855090,Tier 3,20,20,"Target met; monitor Jordan Oasis, Jordan Beqa'a, United Enterprises, Alzawraa/Septara, Kaylani, JordaNeeds and Yousef Al-Akkad for shipment-level garlic/allium evidence and official procurement contacts"
69,Slovak Republic,6446.03,2335650,Tier 3,20,20,"Target met; monitor LUNYS, HORTIM-SK, METRO, HORTI, FOODSERVICE NITRA, TIS, Bidfood Slovakia and VITIMPEX for shipment-level garlic evidence and official procurement contacts"
70,Mongolia,6230.39,6068370,Tier 3,20,20,"Target met; monitor Gatsuurt, Dorgon Chono Haraih, Nomin, Sky Hypermarket/eMart, RUSBEL, U-Foods, Zebra, Max Exim and Delta Foods for fresh-garlic shipment volume and official procurement contacts"
71,Malta,6009.99,1531390,Tier 3,20,20,"Target met; monitor FNG Supplies, Mazaga Fruit, Anglu Xerri, Marsaxlokk Import Export, J&C Pisani, M&Z, Crown Cold Stores, Greens and Welbee's for direct garlic import/shipment evidence and official procurement contacts"
72,Slovenia,5764.35,2087170,Tier 3,20,20,"Target met; monitor KRNC, GEAPRODUKT, Rastoder/Derby Group, Mercator wholesale, Minora, DG 69 and PMRC for direct garlic import/shipment evidence, frozen/IQF garlic demand and official procurement contacts"
73,Jamaica,5708.50,3183350,Tier 3,20,20,"Target met; monitor Spanish Grain, CPJ, Rainforest Caribbean, Everything Fresh, RCP Traders, Massy Distribution, Frozen Delights and Loshusan for direct garlic import/shipment evidence and procurement contacts"
74,Luxembourg,5300.81,1551980,Tier 3,20,20,"Target met; monitor GROSBUSCH, La Provençale, Fruits et Légumes du Jardin, BIOGROS, PrimaFood, Linkgel, Colruyt Professional and Euro-Indian Market for direct garlic import/shipment evidence and procurement contacts"
75,"Egypt, Arab Rep.",5246.10,2773550,Tier 3,20,20,"Target met; monitor Tomna, Farm Fresh, GIVREX, Sanu Foods, Elrawda, IQG Foods, Micro V, Carrefour Egypt and Alpha Foods for direct garlic import/shipment evidence and procurement contacts"
76,Peru,4941.96,1734590,Tier 3,20,20,"Target met; monitor White Lion Foods, Sol de Olmos, Valles Andinos del Peru, Agroquiskay, S&M Foods, Inka Organics, JEMVI, Vega Mayorista and Metro/plazaVea for direct garlic shipment evidence and procurement contacts"
77,Algeria,4928.05,2174200,Tier 3,20,20,"Target met; monitor Melianex, Numidis/UNO, Carrefour Algerie, Sable Dor, GEL FOOD, Alpha Ranim, ECD Foods, NaturAlim and CFOOD ORAN for direct garlic shipment evidence, procurement ownership and bulk fresh or frozen-garlic fit"
78,Bulgaria,4792.80,1832580,Tier 3,20,20,"Target met; monitor Dira Frukt, IVKO2014/IVKO 2014, InterCitrus, Fruit Direct, METRO Bulgaria, Region Fruit, Bulgaria Foods, Provinum and DOSH for direct garlic import/shipment evidence, procurement ownership and bulk fresh or frozen-garlic fit"
79,Mauritius,4756.26,1955770,Tier 3,20,20,"Target met; monitor AMB, Proxifresh, International Food Solution, Panagora, BrandActiv, Relish Marketing, Spice & Flavours, Super Hi Foods, Tenfa and Best Foods Distributors for direct fresh garlic import permissions, processed-garlic shipment evidence and private procurement ownership"
80,"Bahamas, The",4747.29,3049910,Tier 3,20,20,"Target met; monitor Sysco Bahamas, Island Specialty Foods, Thompson Trading, d'Albenas, Lightbourn Trading, Prokin Global, BWA, Island Wholesale, Asa H. Pritchard and Grand Bahama Food Co for direct garlic shipment evidence and fresh/frozen produce procurement ownership"
81,Bosnia and Herzegovina,4407.94,2244340,Tier 3,20,20,"Target met; monitor Frutis, Jaffa-Komerc, Voce-Tranzit, A+ Capital, Union Foods, ATACO, Bingo, Konzum, YimoR, Belamionix and Tropic for direct garlic shipment evidence and fresh/frozen produce procurement ownership"
82,Uruguay,4313.31,1983580,Tier 3,20,20,"Target met; monitor Pingakol, Opah Ortifrutti, AL MAR, Marama Import and Export, Verdes del Sur, Graba, Maosol, Frambel, Frescosur, Los Reyes Group, Grupo Disco and Ta-Ta for direct garlic buyer ownership and FCL-ready fresh/frozen procurement signals"
83,Latvia,4215.30,1270430,Tier 3,20,20,"Target met; monitor SIA Kerio, Elbi, Daneks, A Fruits, Auglu Serviss, Bidfood Latvia, Sanitex/PROMO, Reaton, Gemoss, Rodans, Maxima and Rimi for direct garlic buyer ownership and FCL-ready fresh/frozen procurement signals"
84,Nigeria,4211.51,7821970,Tier 3,20,20,"Target met; monitor Pitisa Fruits, Shoprite/RSNL, Fruits and Veggies Global, Vital Products, Tiger Foods, AACE, Pams, Wigmore, Delifrost and VegExpress for direct garlic buyer ownership and FCL-ready fresh, processed and frozen procurement signals"
85,Cyprus,4050.12,1119260,Tier 3,20,20,"Target met; monitor Andreas Papanicolis, Eurofresh, Amalthia, Fresca, Orthodoxos & Misos, ipH, D&A, GDL, Mitsios and EU Foods for direct garlic buyer ownership and FCL-ready fresh, peeled/refrigerated and frozen procurement signals"
86,"Korea, Rep.",4020.53,544834,Tier 3,20,20,"Target met; monitor Hyundai Green Food, Samsung Welstory, CJ Freshway, Ourhome, Dongwon Home Food, Daesang/BESTCO, SPC GFS, Foodist, Pulmuone Foodmerce, Shinsegae Food, Sempio, TDF Korea, Coman/M&F, Misung, FMS, Emart, Homeplus, Iri Nongsusan and Bridge Logis for direct garlic buyer ownership and FCL-ready fresh, processed, foodservice and frozen procurement signals"
87,Georgia,3776.12,1664900,Tier 3,20,20,"Target met; monitor Agrohub, Goodwill, Fresh Culinair, Nikora, SPAR Georgia, Carrefour, Magniti, Daily, 2 Nabiji, Fresco, Europroduct, Diplomat Georgia, Diplomat Culinary, Marneuli Food Factory, Kula, Foodex, Gastronome, Baka Gies, LLC Fruit1 and OOO Agroline 999 for direct garlic buyer ownership and FCL-ready fresh, processed, foodservice and frozen procurement signals"
88,Albania,3722.08,1773490,Tier 3,20,20,"Target met; monitor Neta, FruitLand, Hatia, Rinaldi, Eliani, AgroKaraj, VegHouse, Romir, Agro Tini, AlbFood, Big Market, SPAR Albania, Conad Albania, Devi Group, Neranxi, Teuta, AMG Food, Alsel Food, Royal MH and Albanian Smart Distribution for direct garlic buyer ownership and FCL-ready fresh, processed, foodservice and frozen procurement signals"
89,Estonia,3635.61,1198280,Tier 3,20,20,"Target met; monitor Karlskroona, Bambona, Fruit Xpress, Kaupmees, Maxima, Coop, Prisma, Rimi, Selver, Sanitex/PROMO, Reaton, Karisma, Akelaks, Salvest, Nord Garlic, Moonlight Fresh, Misafoods, Foodwin, TEH AG Partner and Viiruk for direct garlic buyer ownership and FCL-ready fresh, peeled/refrigerated, processed, foodservice and frozen procurement signals"
90,Iceland,3472.94,985846,Tier 3,20,20,"Target met; monitor Bananar, Innnes, Aðföng, Krónan, Samkaup, Ekran, Garri, ÓJ&K-ÍSAM, SFG, Stórkaup, Danól, Í einum grænum, Hagkaup, Bónus, FoodCoop, Matartíminn, Heilsa, Kalli K, Nathan & Olsen and Ölgerðin for FCL-ready fresh, chilled, frozen/IQF, foodservice, prepared-vegetable and retail-procurement garlic signals"
91,Honduras,3466.63,1872020,Tier 3,20,20,Target met; monitor AFS/CODIS/SISA/Walmart-Hortifruti plus produce distributors and processed-garlic manufacturers for shipment validation
92,Botswana,3402.53,1618500,Tier 3,20,20,Target met; monitor Sefalana/NTS-Pick n Pay/Mr Veg/TRANS/Tsetseng direct garlic signals plus FMCG and foodservice distributors for shipment validation
93,North Macedonia,3368.43,1292280,Tier 3,20,20,Target met; monitor Sistem Grupa/Atlantik/JON-FRUIT/Agro Food plus Dauti/KAM/Vero/Tinex/Ramstore/Kipper/Stokomak and DS Foods/DIP Frozen for direct garlic buyer ownership and fresh/frozen shipment validation
94,Suriname,3344.05,1848940,Tier 3,20,20,"Target met; monitor Amazone Wholesale/Foodservice/Frozen, Interfarm, Simextra, Rudisa, Kopcke, N.V. DAM, Subisco, Tropical, DTS and Simpex for direct garlic buyer ownership and WITS/paid-data shipment validation"
95,Barbados,2806.03,1466790,Tier 3,20,20,"Target met; monitor Massy Distribution, Continental Foods, Bryden Stokes, Hanschell Inniss, Western Wholesale, Simplex, PriceSmart, Massy Stores, AOne and fresh-produce wholesalers for direct garlic buyer ownership and WITS/paid-data shipment validation"
96,Lebanon,2523.74,1737870,Tier 3,20,20,"Target met; monitor AgroFruit, Ramadan Agro, Freshco, Libanfruits, Fresh Products, Agrifresh, Spinneys, FDC, Transmed, G. Vincenti, EAM, Al Wadi, Cortas and HoReCa suppliers for direct garlic buyer ownership and WITS/paid-data shipment validation"
97,Angola,2423.81,1179720,Tier 3,20,20,"Target met; monitor AngoAlissar, Frutas e Legumes, Mercadoro, Agrogenea, Alimenta Angola, AMDP, Star One, Voltari/Iglo, Invesco, Cal Conda, ECB, Maxi/CND, Shoprite, Kero, Kibabo, Deskontao and public Volza allium-buyer signals for direct garlic buyer ownership and paid-data shipment validation"
